// Start Time: Unknown
// Update Rate: Various
// Filter Profile: Error: No XDA filter profile
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.3.7
PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;VelInc_X;VelInc_Y;VelInc_Z;OriInc_q0;OriInc_q1;OriInc_q2;OriInc_q3;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z
00177;1221559;-0.061254;0.052055;9.773852;;;;;;;;;;;;;0.000000;;;
00178;1221584;-0.046558;0.010808;9.786157;;;;;;;;;;;;;0.000000;;;
00179;1221609;-0.069072;0.060261;9.749701;;;;;;;;;;;;;0.000000;;;
00180;1221634;-0.077347;0.077029;9.779140;;;;;;;;;;;;;0.000000;;;
00181;1221659;-0.068212;0.047853;9.791671;;;;;;;;;;;;;0.000000;;;
00182;1221684;-0.063096;0.026482;9.749353;;;;;;;;;;;;;0.000000;;;
00183;1221709;-0.059790;0.047566;9.775355;;;;;;;;;;;;;0.000000;;;
00184;1221734;-0.068076;0.033117;9.735791;;;;;;;;;;;;;0.000000;;;
00185;1221759;-0.080729;0.030240;9.754066;;;;;;;;;;;;;0.000000;;;
00186;1221784;-0.058877;0.039734;9.722725;;;;;;;;;;;;;0.000000;;;
00187;1221809;-0.064074;0.031591;9.740621;;;;;;;;;;;;;0.000000;;;
00188;1221834;-0.051363;0.035708;9.733366;;;;;;;;;;;;;0.000000;;;
00189;1221859;-0.033503;0.020830;9.731740;;;;;;;;;;;;;0.000000;;;
00190;1221884;-0.060345;0.012539;9.784157;;;;;;;;;;;;;0.000000;;;
00191;1221909;-0.037853;0.014779;9.735690;;;;;;;;;;;;;0.000000;;;
00192;1221934;-0.061775;0.072184;9.780192;;;;;;;;;;;;;0.000000;;;
00193;1221959;-0.041076;0.045738;9.764390;;;;;;;;;;;;;0.000000;;;
00194;1221984;-0.057684;0.065721;9.747684;;;;;;;;;;;;;0.000000;;;
00195;1222009;-0.081089;0.032910;9.767950;;;;;;;;;;;;;0.000000;;;
00196;1222034;-0.015789;-0.002794;9.779233;;;;;;;;;;;;;0.000000;;;
00197;1222059;-0.057045;0.019247;9.783101;;;;;;;;;;;;;0.000000;;;
00198;1222084;-0.048193;-0.002954;9.751366;;;;;;;;;;;;;0.000000;;;
00199;1222109;-0.053364;0.030251;9.756035;;;;;;;;;;;;;0.000000;;;
00200;1222134;-0.065382;0.032815;9.729089;;;;;;;;;;;;;0.000000;;;
00201;1222159;-0.096015;0.039885;9.753403;;;;;;;;;;;;;0.000000;;;
00202;1222184;-0.066509;0.054776;9.747394;;;;;;;;;;;;;0.000000;;;
00203;1222209;-0.059506;0.019573;9.784530;;;;;;;;;;;;;0.000000;;;
00204;1222234;-0.060747;0.020623;9.783073;;;;;;;;;;;;;0.000000;;;
00205;1222259;-0.052785;0.028253;9.759905;;;;;;;;;;;;;0.000000;;;
00206;1222284;-0.039407;0.049484;9.785442;;;;;;;;;;;;;0.000000;;;
00207;1222309;-0.032859;0.026737;9.759955;;;;;;;;;;;;;0.000000;;;
00208;1222334;-0.046544;0.034312;9.772269;;;;;;;;;;;;;0.000000;;;
00209;1222359;-0.047738;0.036294;9.760247;;;;;;;;;;;;;0.000000;;;
00210;1222384;-0.075973;0.073353;9.765273;;;;;;;;;;;;;0.000000;;;
00211;1222409;-0.049238;0.039667;9.776968;;;;;;;;;;;;;0.000000;;;
00212;1222434;-0.034197;0.041919;9.753429;;;;;;;;;;;;;0.000000;;;
00213;1222459;-0.017463;0.016378;9.766888;;;;;;;;;;;;;0.000000;;;
00214;1222484;-0.022590;0.025862;9.770547;;;;;;;;;;;;;0.000000;;;
00215;1222509;-0.030154;0.037563;9.800551;;;;;;;;;;;;;0.000000;;;
00216;1222534;-0.043897;0.028111;9.736871;;;;;;;;;;;;;0.000000;;;
00217;1222559;-0.060112;0.033328;9.755964;;;;;;;;;;;;;0.000000;;;
00218;1222584;-0.025591;0.027677;9.725875;;;;;;;;;;;;;0.000000;;;
00219;1222609;-0.051094;0.052452;9.778658;;;;;;;;;;;;;0.000000;;;
00220;1222634;-0.055497;0.030278;9.780979;;;;;;;;;;;;;0.000000;;;
00221;1222659;-0.030848;0.015813;9.752481;;;;;;;;;;;;;0.000000;;;
00222;1222684;-0.047456;0.016549;9.803794;;;;;;;;;;;;;0.000000;;;
00223;1222709;-0.026473;0.042656;9.741912;;;;;;;;;;;;;0.000000;;;
00224;1222734;-0.045235;0.045202;9.743760;;;;;;;;;;;;;0.000000;;;
00225;1222759;-0.057380;0.029795;9.726278;;;;;;;;;;;;;0.000000;;;
00226;1222784;-0.056024;0.024906;9.781556;;;;;;;;;;;;;0.000000;;;
00227;1222809;-0.041751;0.039902;9.781308;;;;;;;;;;;;;0.000000;;;
00228;1222834;-0.032276;0.033491;9.746389;;;;;;;;;;;;;0.000000;;;
